"Year","Occupation","Total_Number","Men_Number","Women_Number","Total_MedianEarnings","Men_MedianEarnings","Women_MedianEarnings"
2013,"Office and Administrative Support",13.261018,3.70682,9.554198,0.03512,38713,33637
2013,"Sales and Related",9.763412,5.776608,3.986804,0.0413,50259,31747
2013,"Production",6.900369,5.123473,1.776896,0.035478,39170,26544
2013,"Healthcare Practitioners and Technical",5.784959,1.647689,4.13727,0.061014,80723,56710
2013,"Business and Financial Operations",5.677671,2.607609,3.070062,0.060692,70670,52958
2013,"Educational Instruction, and Library",5.123204,1.51212,3.611084,0.047331,55349,44667
2013,"Construction and Extraction",4.960836,4.841705,0.119131,0.040003,40078,33236
2013,"Installation, Maintenance, and Repair",3.860624,3.72119,0.139434,0.04345,43781,40347
2013,"Transportation",3.637658,3.296719,0.340939,0.040594,41222,30304
2013,"Computer and Mathematical",3.326898,2.491163,0.835735,0.076739,80509,69795
2014,"Office and Administrative Support",13.145902,3.772191,9.373711,0.035365,38667,34069
2014,"Sales and Related",9.83414,5.788675,4.045465,0.041747,50567,32122
2014,"Production",7.047746,5.254651,1.793095,0.035891,40113,26561
2014,"Healthcare Practitioners and Technical",6.183734,1.73277,4.450964,0.060631,77993,56151
2014,"Business and Financial Operations",5.809077,2.672417,3.13666,0.060934,70728,54018
2014,"Construction and Extraction",5.306587,5.17491,0.131677,0.040042,40133,32481
2014,"Educational Instruction, and Library",5.211831,1.513551,3.69828,0.048026,55730,45162
2014,"Installation, Maintenance, and Repair",3.856472,3.713565,0.142907,0.044262,44462,41195
2014,"Transportation",3.777077,3.408321,0.368756,0.040763,41394,31001
2014,"Computer and Mathematical",3.556981,2.670024,0.886957,0.077975,81043,70786
2015,"Office and Administrative Support",13.43264,3.88527,9.54737,0.03577,39077,34962
2015,"Sales and Related",9.992545,5.88424,4.108305,0.042101,50928,32588
2015,"Production",7.218719,5.366548,1.852171,0.036278,40435,27256
2015,"Healthcare Practitioners and Technical",6.285534,1.728301,4.557233,0.060928,80084,56629
2015,"Business and Financial Operations",5.914658,2.699566,3.215092,0.061547,71816,55043
2015,"Construction and Extraction",5.559833,5.41896,0.140873,0.040235,40300,35673
2015,"Educational Instruction, and Library",5.240692,1.530438,3.710254,0.048649,55772,45789
2015,"Installation, Maintenance, and Repair",4.029724,3.897252,0.132472,0.045414,45515,41070
2015,"Transportation",3.927349,3.535497,0.391852,0.041549,42204,31533
2015,"Computer and Mathematical",3.679444,2.766278,0.913166,0.080339,82130,71378
2016,"Office and Administrative Support",13.475419,3.953161,9.522258,0.03629,40053,35548
2016,"Sales and Related",10.085935,5.907517,4.178418,0.043647,51791,34226
2016,"Production",7.08469,5.206127,1.878563,0.036773,40898,28241
2016,"Healthcare Practitioners and Technical",6.558946,1.806655,4.752291,0.061813,81023,58404
2016,"Business and Financial Operations",6.123442,2.814981,3.308461,0.063511,74011,56897
2016,"Construction and Extraction",5.684325,5.535847,0.148478,0.040852,40926,35859
2016,"Educational Instruction, and Library",5.348821,1.547041,3.80178,0.049619,56876,46403
2016,"Transportation",4.017489,3.621746,0.395743,0.041788,42389,31991
2016,"Installation, Maintenance, and Repair",4.007794,3.873396,0.134398,0.045939,46092,40827
2016,"Computer and Mathematical",3.884352,2.925768,0.958584,0.08176,85427,72472
2017,"Office and Administrative Support",13.620469,4.034756,9.585713,0.03705,40709,36261
2017,"Sales and Related",10.133059,5.927866,4.205193,0.045567,52335,35512
2017,"Production",7.197169,5.30623,1.890939,0.037542,41565,29317
2017,"Healthcare Practitioners and Technical",6.787795,1.84625,4.941545,0.062232,80092,60334
2017,"Business and Financial Operations",6.327592,2.884605,3.442987,0.06559,75902,59584
2017,"Construction and Extraction",6.02529,5.857738,0.167552,0.041334,41422,35760
2017,"Educational Instruction, and Library",5.528587,1.585239,3.943348,0.050307,57802,47033
2017,"Transportation",4.118728,3.667169,0.451559,0.042227,44173,31941
2017,"Computer and Mathematical",4.091529,3.091982,0.999547,0.083469,87012,75555
2017,"Installation, Maintenance, and Repair",3.985231,3.839984,0.145247,0.046973,47168,41113
2018,"Office and Administrative Support",12.527103,3.409297,9.117806,0.039013,44296,37220
2018,"Sales and Related",10.130887,5.893182,4.237705,0.046617,54754,36519
2018,"Production",7.22151,5.310063,1.911447,0.039918,42766,30617
2018,"Business and Financial Operations",7.088377,3.332992,3.755385,0.06952,79998,61601
2018,"Healthcare Practitioners and Technical",6.988175,1.885295,5.10288,0.064326,81376,60940
2018,"Construction and Extraction",6.166725,5.983193,0.183532,0.041943,42023,37272
2018,"Educational Instruction, and Library",5.62163,1.608658,4.012972,0.05103,60158,48123
2018,"Transportation",4.376399,3.894093,0.482306,0.044469,46008,32858
2018,"Computer and Mathematical",4.371077,3.25541,1.115667,0.085063,89396,75914
2018,"Installation, Maintenance, and Repair",3.999085,3.856978,0.142107,0.048373,48691,42132
2019,"Office and Administrative Support",12.078551,3.204456,8.874095,0.039299,43475,37457
2019,"Sales and Related",9.988596,5.710358,4.278238,0.046454,54461,36458
2019,"Production",7.324192,5.351516,1.972676,0.040136,43346,30856
2019,"Healthcare Practitioners and Technical",7.181268,1.970812,5.210456,0.066614,85126,62299
2019,"Business and Financial Operations",7.130983,3.317732,3.813251,0.070234,80061,62437
2019,"Construction and Extraction",6.272018,6.090679,0.181339,0.042942,43525,35282
2019,"Educational Instruction, and Library",6.042723,1.705554,4.337169,0.051382,60576,48833
2019,"Computer and Mathematical",4.554097,3.375006,1.179091,0.087148,91377,77356
2019,"Transportation",4.454627,3.959754,0.494873,0.045487,46894,32462
2019,"Installation, Maintenance, and Repair",4.175469,4.017924,0.157545,0.050152,50347,41472
2020,"Office and Administrative Support",12.207,3.445,8.762,0.040612,45136,39312
2020,"Sales and Related",8.958,4.991,3.967,0.04576,54392,37180
2020,"Healthcare practitioners and technical",7.504,1.921,5.584,0.063804,78312,59956
2020,"Business and financial operations",7.294,3.312,3.982,0.070876,80600,62868
2020,"Educational Instruction, and Library",7.012,1.87,5.142,0.056992,69004,53352
2020,"Production",6.82,5.055,1.765,0.0403,43732,32760
2020,"Construction and Extraction",5.826,5.635,0.191,0.047112,47320,41392
2020,"Computer and Mathematical",5.083,3.838,1.246,0.084916,90376,73996
2020,"Transportation",4.749873,3.608422,1.141451,0.052862,55515,46280
2020,"Installation, Maintenance, and Repair",4.077,3.917,0.16,0.051168,51532,41652
2021,"Production",8.958,4.991,3.967,0.04576,54392,37180
2021,"Healthcare Practitioners and Technical",6.82,5.055,1.765,0.0403,43732,32760
2021,"Educational Instruction, and Library",6.261803,1.809702,4.452101,0.055329,63859,51984
2021,"Sales and Related",5.826,5.635,0.191,0.047112,47320,41392
2021,"Construction and Extraction",5.491759,5.327382,0.164377,0.04691,47149,39846
2021,"Computer and Mathematical",5.029627,3.776648,1.252979,0.094409,99619,83834
2021,"Business and Financial Operations",4.077,3.917,0.16,0.051168,51532,41652
2021,"Installation, Maintenance, and Repair",3.993828,3.857273,0.136555,0.052167,52346,43061
2021,"Transportation",3.92477,3.496398,0.428372,0.050033,50848,36219
2021,"Office and Administrative Support",3.138,2.051,1.087,0.031356,33852,26572
2022,"Office and Administrative Support",12.196123,3.378577,8.817546,0.044038,50124,42303
2022,"Sales and Related",9.812069,5.706063,4.106006,0.053543,63240,42808
2022,"Business and Financial Operations",8.274826,3.87334,4.401486,0.079502,90069,71856
2022,"Healthcare Practitioners and Technical",7.555731,2.062441,5.49329,0.076047,95762,72119
2022,"Production",7.019626,5.178333,1.841293,0.045073,49667,36546
2022,"Educational Instruction, and Library",6.389431,1.823649,4.565782,0.056913,66043,53519
2022,"Construction and Extraction",5.992219,5.806646,0.185573,0.050311,50558,40164
2022,"Computer and Mathematical",5.417891,4.045406,1.372485,0.100196,103298,87509
2022,"Transportation",4.340588,3.853734,0.486854,0.051768,53242,38252
2022,"Installation, Maintenance, and Repair",4.14688,4.003705,0.143175,0.054671,54928,46973
2023,"Office and Administrative Support",12.519,3.777,8.743,0.046332,51116,44928
2023,"Sales and Related",9.148,5.099,4.049,0.052052,62192,43160
2023,"Business and financial operations",8.227,3.694,4.533,0.078884,87048,73112
2023,"Healthcare practitioners and technical",7.795,1.963,5.832,0.073008,87464,69732
2023,"Educational Instruction, and Library",7.524,2.07,5.455,0.06136,71552,58968
2023,"Production",7.313,5.277,2.036,0.04654,50232,38584
2023,"Construction and Extraction",6.517,6.277,0.24,0.05122,51532,41340
2023,"Computer and Mathematical",6.129,4.522,1.607,0.09828,102752,84656
2023,"Transportation",5.494759,5.330382,0.167377,0.04721,47449,40146
2023,"Installation, Maintenance, and Repair",4.12,3.968,0.152,0.056784,57408,45500
